State/UT,2016 - Domestic,2016 - Foreign,2017 - Domestic,2017 - Foreign,Growth Rate - Domestic,Growth Rate - Foreign
Andaman & Nicobar Islands,384552,15466,471919,15313,22.7,-1
Andhra Pradesh,153163354,341764,165433898,271362,8,-20.6
Arunachal Pradesh,385875,6598,444005,7147,15.1,8.3
Assam,5160599,19456,6052667,21760,17.3,11.8
Bihar,28516127,1010531,32414063,1082705,13.7,7.1
Chandigarh,1182504,31549,1425781,31832,20.6,0.9
Chhattisgarh,16534471,9220,12231935,6655,-26,-27.8
Dadra & Nagar Haveli,589074,1891,614182,1908,4.3,0.9
Daman & Diu,826201,5669,858131,5535,3.9,-2.4
Delhi,28460832,2520083,29114423,2740502,2.3,8.7
Goa,5650061,680683,6895234,842220,22,23.7
Gujarat,42252909,343752,48343121,448853,14.4,30.6
Haryana,7382995,331291,6050325,193381,-18.1,-41.6
Himachal Pradesh,17997750,452770,19130541,470992,6.3,4
Jharkhand,33389286,169442,33723185,170987,1,0.9
Jammu & Kashmir,9414579,63207,14235473,79765,51.2,26.2
Karnataka,129762600,461752,179980191,498148,38.7,7.9
Kerala,13172536,1038419,14673520,1091870,11.4,5.1
Lakshadweep,8716,753,6620,1027,-24,36.4
Madhya Pradesh,150490339,363195,78038522,359119,-48.1,-1.1
Maharashtra,116515801,4670049,119191539,5078514,2.3,8.7
Manipur,150638,3064,153454,3497,1.9,14.1
Meghalaya,830887,8476,990856,12051,19.3,42.2
Mizoram,67238,942,67772,1155,0.8,22.6
Nagaland,58178,3260,63362,4166,8.9,27.8
Odisha,12842766,76361,14011229,100014,9.1,31
Puducherry,1398289,117437,1531972,131407,9.6,11.9
Punjab,38703326,659736,40293352,1108635,4.1,68
Rajasthan,41495115,1513729,45916573,1609963,10.7,6.4
Sikkim,747343,66012,1375854,49111,84.1,-25.6
Tamil Nadu,343812413,4721978,345061140,4860455,0.4,2.9
Telangana,95160830,166570,85266596,251846,-10.4,51.2
Tripura,370618,36780,398669,69899,7.6,90
Uttar Pradesh,213544204,3156812,233977619,3556204,9.6,12.7
Uttarakhand,30505363,117106,34359989,133725,12.6,14.2
West Bengal,74460250,1528700,79687645,1574915,7,3
Total,1615388619,24714503,1652485357,26886638,2.3,8.8
